source_id,chunk_id,text
doc_intro_app_structure,doc_intro_app_structure::chunk_0,"Во Flask небольшое приложение можно начать с одного файла, но по мере роста кода удобнее переходить к структуре с пакетами, app factory и разделением модулей. Паттерн application factory позволяет создавать приложение функцией create_app и подключать расширения без жёсткой привязки к глобальному app. Такой подход"
doc_intro_app_structure,doc_intro_app_structure::chunk_1,"create_app и подключать расширения без жёсткой привязки к глобальному app. Такой подход упрощает тестирование, поддержку нескольких конфигураций и запуск разных окружений. Обычно рядом хранятся пакеты blueprints, шаблоны, static, модели и конфигурация. Если проект становится большим, имеет смысл выделить отдельные"
doc_intro_app_structure,doc_intro_app_structure::chunk_2,"модели и конфигурация. Если проект становится большим, имеет смысл выделить отдельные модули для auth, api, admin и main, чтобы маршруты и бизнес-логика были разнесены по понятным частям."
doc_blueprints,doc_blueprints::chunk_0,"Blueprints помогают разделить большое Flask-приложение на несколько логических частей. Каждый blueprint может содержать собственные маршруты, шаблоны, static-файлы и обработчики ошибок. Например, можно завести blueprints для auth, blog и api, а затем зарегистрировать их внутри create_app. Это делает код модульным и"
doc_blueprints,doc_blueprints::chunk_1,"и api, а затем зарегистрировать их внутри create_app. Это делает код модульным и облегчает командную разработку. Blueprint не является отдельным приложением, но даёт удобный способ группировать view-функции по разделам. Для больших систем полезно выносить URL-префиксы и регистрацию маршрутов в отдельные файлы, чтобы"
doc_blueprints,doc_blueprints::chunk_2,"систем полезно выносить URL-префиксы и регистрацию маршрутов в отдельные файлы, чтобы навигация по проекту оставалась простой."
doc_jinja_templates,doc_jinja_templates::chunk_0,"Во Flask HTML обычно рендерится через Jinja2. View-функция получает данные, а затем передаёт их в шаблон через render_template. Это позволяет отделить Python-логику от разметки. В шаблонах удобно использовать наследование через base.html, блоки content и повторно использовать макросы. Так снижается дублирование HTML и"
doc_jinja_templates,doc_jinja_templates::chunk_1,"блоки content и повторно использовать макросы. Так снижается дублирование HTML и проще поддерживать общий layout сайта. Если нужно вывести список объектов, их передают в render_template как именованные аргументы. Jinja также умеет фильтры, условия и циклы, поэтому подходит для большинства типовых страниц и"
doc_jinja_templates,doc_jinja_templates::chunk_2,"умеет фильтры, условия и циклы, поэтому подходит для большинства типовых страниц и административных интерфейсов."
doc_forms_validation,doc_forms_validation::chunk_0,"При работе с HTML-формами во Flask полезно придерживаться паттерна Post/Redirect/Get. После успешной обработки POST-запроса приложение делает redirect, чтобы пользователь не отправил форму повторно при обновлении страницы. Для проверки данных применяют серверную валидацию и сообщения flash. Формы можно обрабатывать"
doc_forms_validation,doc_forms_validation::chunk_1,"данных применяют серверную валидацию и сообщения flash. Формы можно обрабатывать вручную через request.form или использовать Flask-WTF для CSRF-защиты и декларативных правил. Основная идея состоит в том, чтобы не смешивать проверку входных значений, бизнес-логику и финальный рендер ответа."
doc_rest_api_json,doc_rest_api_json::chunk_0,"Для JSON API во Flask удобно возвращать данные через jsonify или обычный dict в новых версиях фреймворка. Важно выставлять корректные HTTP-коды: 200 для успешного чтения, 201 для создания, 400 для ошибок клиента, 404 для отсутствующего ресурса и 500 для внутренних сбоев. Если приложение предоставляет REST API, полезно"
